plasmid	contig	contig_len
HY_plasmid_0	84	593
HY_plasmid_0	173	115
HY_plasmid_0	138	195
HY_plasmid_0	91	548
HY_plasmid_0	165	137
HY_plasmid_0	38	23307
HY_plasmid_0	223	12
HY_plasmid_0	200	70
HY_plasmid_0	129	242
HY_plasmid_0	171	116
HY_plasmid_0	59	2438
HY_plasmid_0	167	132
HY_plasmid_0	35	38992
HY_plasmid_0	63	1343
HY_plasmid_0	105	426
HY_plasmid_0	211	43
HY_plasmid_0	58	2747
HY_plasmid_0	199	70
HY_plasmid_0	172	116
HY_plasmid_0	204	63
HY_plasmid_0	232	8
HY_plasmid_0	125	257
HY_plasmid_0	45	15482
HY_plasmid_0	231	8

HY_plasmid_2	203	63
HY_plasmid_2	159	144
HY_plasmid_2	155	149
HY_plasmid_2	122	282
HY_plasmid_2	135	205
HY_plasmid_2	82	613
HY_plasmid_2	161	143
HY_plasmid_2	40	21493
HY_plasmid_2	207	55
HY_plasmid_2	165	137
HY_plasmid_2	177	112
HY_plasmid_2	74	844
HY_plasmid_2	154	151
HY_plasmid_2	218	33
HY_plasmid_2	43	17725
HY_plasmid_2	76	820
HY_plasmid_2	54	7043

HY_plasmid_9	46	14753

HY_plasmid_10	51	9246
HY_plasmid_10	147	166
HY_plasmid_10	44	16500
HY_plasmid_10	148	163

HY_plasmid_11	61	1550

HY_plasmid_13	110	363
HY_plasmid_13	56	5320
HY_plasmid_13	126	254
HY_plasmid_13	146	171
HY_plasmid_13	179	109
HY_plasmid_13	178	110
HY_plasmid_13	115	303
HY_plasmid_13	90	556
HY_plasmid_13	71	940
HY_plasmid_13	167	132
HY_plasmid_13	79	678

