plasmid	contig	contig_len
HY_plasmid_0	95	278
HY_plasmid_0	137	135
HY_plasmid_0	134	137
HY_plasmid_0	92	296
HY_plasmid_0	143	127
HY_plasmid_0	76	397
HY_plasmid_0	125	161
HY_plasmid_0	131	144
HY_plasmid_0	141	131
HY_plasmid_0	34	12516
HY_plasmid_0	142	128
HY_plasmid_0	164	65
HY_plasmid_0	114	186
HY_plasmid_0	167	65
HY_plasmid_0	103	242
HY_plasmid_0	153	82
HY_plasmid_0	32	23505
HY_plasmid_0	52	836
HY_plasmid_0	19	89983

HY_plasmid_1	88	308
HY_plasmid_1	86	313
HY_plasmid_1	77	394
HY_plasmid_1	36	8695
HY_plasmid_1	127	150
HY_plasmid_1	73	438

HY_plasmid_2	182	31
HY_plasmid_2	109	207
HY_plasmid_2	52	836
HY_plasmid_2	98	256
HY_plasmid_2	38	6995

HY_plasmid_4	55	796
HY_plasmid_4	22	43612
HY_plasmid_4	69	487
HY_plasmid_4	56	766
HY_plasmid_4	118	182
HY_plasmid_4	11	133597
HY_plasmid_4	51	921
HY_plasmid_4	161	67
HY_plasmid_4	129	149
HY_plasmid_4	185	22
HY_plasmid_4	130	146

HY_plasmid_5	74	438
HY_plasmid_5	48	1709
HY_plasmid_5	18	91265
HY_plasmid_5	72	446
HY_plasmid_5	24	39726
HY_plasmid_5	102	242

HY_plasmid_10	109	207
HY_plasmid_10	52	836
HY_plasmid_10	98	256
HY_plasmid_10	145	121
HY_plasmid_10	104	239

