plasmid	contig	contig_len
PBF_P1	70	3651

PBF_P2	65	5463

PBF_P3	72	3373

PBF_P4	59	6647

PBF_P5	312	80
PBF_P5	351	35
PBF_P5	37	23531
PBF_P5	318	74
PBF_P5	350	35
PBF_P5	375	13
PBF_P5	314	76
PBF_P5	377	13
PBF_P5	235	155
PBF_P5	289	103
PBF_P5	317	74
PBF_P5	116	616
PBF_P5	81	1954
PBF_P5	376	13
PBF_P5	182	255
PBF_P5	303	91
PBF_P5	308	81
PBF_P5	55	8648
PBF_P5	48	15522
PBF_P5	20	80577
PBF_P5	45	17611
PBF_P5	36	24528
PBF_P5	207	204
PBF_P5	39	22864
PBF_P5	309	80
PBF_P5	233	157
PBF_P5	341	48
PBF_P5	248	138
PBF_P5	51	12238
PBF_P5	311	80
PBF_P5	372	13
PBF_P5	83	1689
PBF_P5	357	27

PBF_P6	351	35
PBF_P6	37	23531
PBF_P6	318	74
PBF_P6	314	76
PBF_P6	235	155
PBF_P6	116	616
PBF_P6	81	1954
PBF_P6	376	13
PBF_P6	303	91
PBF_P6	182	255
PBF_P6	56	8348
PBF_P6	55	8648
PBF_P6	45	17611
PBF_P6	36	24528
PBF_P6	207	204
PBF_P6	39	22864
PBF_P6	310	80
PBF_P6	233	157
PBF_P6	341	48
PBF_P6	248	138
PBF_P6	372	13
PBF_P6	83	1689
PBF_P6	357	27

PBF_P7	81	1954
PBF_P7	75	2710

PBF_P8	53	10777
PBF_P8	317	74
PBF_P8	311	80
PBF_P8	350	35
PBF_P8	81	1954
PBF_P8	233	157
PBF_P8	375	13
PBF_P8	341	48
PBF_P8	303	91
PBF_P8	235	155
PBF_P8	45	17611
PBF_P8	36	24528
PBF_P8	289	103
PBF_P8	372	13
PBF_P8	83	1689

PBF_P9	56	8348

PBF_P10	53	10777

