plasmid	contig	contig_len
GT_2	37	38992
GT_2	40	23307
GT_2	41	21668
GT_2	48	15482
GT_2	53	10100
GT_2	61	2746
GT_2	66	1343
GT_2	77	844
GT_2	83	678
GT_2	85	640
GT_2	91	566
GT_2	94	547
GT_2	102	486
GT_2	108	427
GT_2	113	363
GT_2	120	303
GT_2	131	257
GT_2	132	254
GT_2	135	242
GT_2	143	193
GT_2	150	171
GT_2	154	163
GT_2	160	151
GT_2	170	138
GT_2	172	138
GT_2	174	132
GT_2	179	115
GT_2	180	115
GT_2	183	111
GT_2	185	109

GT_3	46	17725
GT_3	49	14753
GT_3	51	12343
GT_3	56	7588
GT_3	57	7043
GT_3	62	2439
GT_3	64	1550
GT_3	66	1343
GT_3	72	973
GT_3	73	973
GT_3	77	844
GT_3	78	824
GT_3	79	820
GT_3	87	599
GT_3	88	585
GT_3	89	585
GT_3	91	566
GT_3	94	547
GT_3	105	477
GT_3	121	302
GT_3	127	284
GT_3	131	257
GT_3	134	243
GT_3	135	242
GT_3	160	151
GT_3	172	138
GT_3	174	132
GT_3	179	115
GT_3	180	115
GT_3	183	111

