plasmid	contig	contig_len
PBF_P1	231	54
PBF_P1	269	10
PBF_P1	58	9355
PBF_P1	160	238
PBF_P1	253	26
PBF_P1	55	12271
PBF_P1	290	1
PBF_P1	238	44
PBF_P1	77	2371
PBF_P1	168	206
PBF_P1	157	245
PBF_P1	204	131
PBF_P1	63	6113
PBF_P1	176	179
PBF_P1	211	123
PBF_P1	233	50
PBF_P1	49	16475
PBF_P1	279	1
PBF_P1	188	155
PBF_P1	245	34
PBF_P1	106	821
PBF_P1	212	123
PBF_P1	75	2735
PBF_P1	162	236
PBF_P1	216	114
PBF_P1	120	466
PBF_P1	288	1
PBF_P1	186	157
PBF_P1	214	117
PBF_P1	136	336
PBF_P1	159	238
PBF_P1	62	6887
PBF_P1	40	23249
PBF_P1	234	50
PBF_P1	57	11993
PBF_P1	203	134
PBF_P1	289	1
PBF_P1	93	1352
PBF_P1	152	262
PBF_P1	73	3703
PBF_P1	225	82
PBF_P1	145	285
PBF_P1	131	366
PBF_P1	60	8097
PBF_P1	181	166
PBF_P1	267	12
PBF_P1	90	1556
PBF_P1	155	254
PBF_P1	184	159
PBF_P1	164	221

PBF_P2	231	54
PBF_P2	269	10
PBF_P2	291	1
PBF_P2	109	674
PBF_P2	253	26
PBF_P2	55	12271
PBF_P2	108	695
PBF_P2	77	2371
PBF_P2	168	206
PBF_P2	157	245
PBF_P2	166	213
PBF_P2	63	6113
PBF_P2	204	131
PBF_P2	102	1058
PBF_P2	176	179
PBF_P2	107	733
PBF_P2	76	2581
PBF_P2	49	16475
PBF_P2	161	238
PBF_P2	188	155
PBF_P2	245	34
PBF_P2	215	114
PBF_P2	56	12188
PBF_P2	119	505
PBF_P2	106	821
PBF_P2	212	123
PBF_P2	75	2735
PBF_P2	41	23141
PBF_P2	162	236
PBF_P2	288	1
PBF_P2	120	466
PBF_P2	214	117
PBF_P2	136	336
PBF_P2	237	44
PBF_P2	62	6887
PBF_P2	31	35969
PBF_P2	40	23249
PBF_P2	234	50
PBF_P2	57	11993
PBF_P2	203	134
PBF_P2	289	1
PBF_P2	93	1352
PBF_P2	152	262
PBF_P2	145	285
PBF_P2	73	3703
PBF_P2	131	366
PBF_P2	181	166
PBF_P2	267	12
PBF_P2	90	1556
PBF_P2	155	254
PBF_P2	184	159
PBF_P2	164	221

PBF_P3	277	1
PBF_P3	291	1
PBF_P3	269	10
PBF_P3	253	26
PBF_P3	55	12271
PBF_P3	108	695
PBF_P3	168	206
PBF_P3	157	245
PBF_P3	166	213
PBF_P3	204	131
PBF_P3	102	1058
PBF_P3	47	19188
PBF_P3	176	179
PBF_P3	107	733
PBF_P3	230	54
PBF_P3	161	238
PBF_P3	188	155
PBF_P3	215	114
PBF_P3	56	12188
PBF_P3	119	505
PBF_P3	106	821
PBF_P3	75	2735
PBF_P3	78	2339
PBF_P3	162	236
PBF_P3	244	34
PBF_P3	120	466
PBF_P3	214	117
PBF_P3	237	44
PBF_P3	31	35969
PBF_P3	62	6887
PBF_P3	40	23249
PBF_P3	234	50
PBF_P3	57	11993
PBF_P3	203	134
PBF_P3	289	1
PBF_P3	73	3703
PBF_P3	152	262
PBF_P3	131	366
PBF_P3	181	166
PBF_P3	267	12
PBF_P3	239	43
PBF_P3	90	1556
PBF_P3	155	254
PBF_P3	164	221

PBF_P4	56	12188

PBF_P5	31	35969

PBF_P6	225	82
PBF_P6	77	2371
PBF_P6	60	8097

