plasmid	contig	contig_len
HY_plasmid_0	36	35646

HY_plasmid_1	86	519
HY_plasmid_1	206	46
HY_plasmid_1	20	77001
HY_plasmid_1	60	2731
HY_plasmid_1	48	11139
HY_plasmid_1	98	308
HY_plasmid_1	172	106
HY_plasmid_1	68	1224
HY_plasmid_1	59	2930
HY_plasmid_1	118	207

HY_plasmid_4	118	207
HY_plasmid_4	45	15343
HY_plasmid_4	158	132
HY_plasmid_4	85	616

HY_plasmid_6	125	194
HY_plasmid_6	224	18
HY_plasmid_6	86	519
HY_plasmid_6	206	46
HY_plasmid_6	233	13
HY_plasmid_6	124	199
HY_plasmid_6	51	7921
HY_plasmid_6	76	849

