plasmid	contig	contig_len
GT_2	30	65549
GT_2	52	14937
GT_2	57	9467
GT_2	100	1095
GT_2	104	996
GT_2	124	756
GT_2	134	671
GT_2	136	663
GT_2	143	618
GT_2	148	601
GT_2	264	202
GT_2	269	192
GT_2	272	190
GT_2	273	190
GT_2	281	174
GT_2	296	159
GT_2	332	129
GT_2	345	124
GT_2	348	124
GT_2	362	111

GT_3	27	75225
GT_3	53	13948
GT_3	83	2362
GT_3	104	996
GT_3	142	623
GT_3	143	618
GT_3	158	559
GT_3	202	364
GT_3	203	363
GT_3	270	191
GT_3	272	190
GT_3	273	190
GT_3	291	164
GT_3	317	137
GT_3	338	127
GT_3	344	124
GT_3	348	124
GT_3	356	116
GT_3	357	116
GT_3	362	111
GT_3	380	101
GT_3	381	101

GT_4	74	3691

GT_5	84	2352

GT_6	86	2089

