plasmid	contig	contig_len
HY_plasmid_2	411	68
HY_plasmid_2	356	116
HY_plasmid_2	317	137
HY_plasmid_2	203	363
HY_plasmid_2	291	164
HY_plasmid_2	53	13948
HY_plasmid_2	408	70
HY_plasmid_2	158	559
HY_plasmid_2	338	127
HY_plasmid_2	62	6315
HY_plasmid_2	269	192
HY_plasmid_2	416	64
HY_plasmid_2	296	159
HY_plasmid_2	134	671
HY_plasmid_2	264	202
HY_plasmid_2	438	44
HY_plasmid_2	112	929

HY_plasmid_4	296	159
HY_plasmid_4	417	64
HY_plasmid_4	332	129
HY_plasmid_4	415	64
HY_plasmid_4	52	14937
HY_plasmid_4	100	1095
HY_plasmid_4	30	65549
HY_plasmid_4	416	64

HY_plasmid_6	458	30
HY_plasmid_6	354	118
HY_plasmid_6	404	71
HY_plasmid_6	288	168
HY_plasmid_6	439	44
HY_plasmid_6	20	92485
HY_plasmid_6	267	196
HY_plasmid_6	100	1095
HY_plasmid_6	116	880
HY_plasmid_6	34	47129
HY_plasmid_6	228	276

HY_plasmid_7	68	4731
HY_plasmid_7	223	287
HY_plasmid_7	474	16
HY_plasmid_7	414	64
HY_plasmid_7	332	129
HY_plasmid_7	417	64
HY_plasmid_7	296	159
HY_plasmid_7	442	42
HY_plasmid_7	124	756
HY_plasmid_7	104	996
HY_plasmid_7	437	46
HY_plasmid_7	395	78
HY_plasmid_7	273	190
HY_plasmid_7	142	623
HY_plasmid_7	357	116
HY_plasmid_7	174	462
HY_plasmid_7	207	356

HY_plasmid_11	74	3691

HY_plasmid_13	467	23
HY_plasmid_13	271	190
HY_plasmid_13	190	402
HY_plasmid_13	51	18097
HY_plasmid_13	308	145
HY_plasmid_13	339	127
HY_plasmid_13	261	204
HY_plasmid_13	312	143

HY_plasmid_16	122	810
HY_plasmid_16	110	940
HY_plasmid_16	159	556
HY_plasmid_16	143	618

HY_plasmid_21	379	104
HY_plasmid_21	91	1463
HY_plasmid_21	456	30
HY_plasmid_21	316	141

HY_plasmid_22	322	135
HY_plasmid_22	378	104
HY_plasmid_22	91	1463
HY_plasmid_22	192	397
HY_plasmid_22	87	1741

HY_plasmid_31	207	356
HY_plasmid_31	427	55
HY_plasmid_31	139	658
HY_plasmid_31	143	618

HY_plasmid_33	345	124
HY_plasmid_33	381	101
HY_plasmid_33	444	41
HY_plasmid_33	362	111
HY_plasmid_33	348	124
HY_plasmid_33	270	191
HY_plasmid_33	247	230
HY_plasmid_33	292	164
HY_plasmid_33	304	151
HY_plasmid_33	234	253
HY_plasmid_33	244	231
HY_plasmid_33	104	996
HY_plasmid_33	437	46

HY_plasmid_45	266	199
HY_plasmid_45	79	3144
HY_plasmid_45	270	191

