plasmid	contig	contig_len
GT_2	36	24528
GT_2	37	23531
GT_2	39	22864
GT_2	45	17611
GT_2	53	10777
GT_2	55	8648
GT_2	56	8348
GT_2	69	3794
GT_2	81	1954
GT_2	82	1791
GT_2	83	1689
GT_2	111	695
GT_2	116	616
GT_2	182	255
GT_2	195	223
GT_2	203	213
GT_2	207	204
GT_2	233	157
GT_2	235	155
GT_2	248	138
GT_2	289	103

GT_3	20	80577
GT_3	48	15522
GT_3	51	12238
GT_3	62	6154
GT_3	83	1689
GT_3	113	692
GT_3	117	595
GT_3	182	255
GT_3	195	223
GT_3	207	204
GT_3	233	157
GT_3	235	155
GT_3	239	146
GT_3	248	138
GT_3	289	103

GT_4	21	80456
GT_4	34	30095
GT_4	81	1954
GT_4	191	237
GT_4	282	110

GT_5	59	6647

GT_6	65	5463

GT_7	70	3651
GT_7	188	238

GT_8	72	3373

GT_9	84	1506

