plasmid	contig	contig_len
HY_plasmid_0	134	130
HY_plasmid_0	97	287
HY_plasmid_0	104	245
HY_plasmid_0	169	19
HY_plasmid_0	133	131
HY_plasmid_0	162	46
HY_plasmid_0	120	162
HY_plasmid_0	67	1157
HY_plasmid_0	122	157
HY_plasmid_0	55	2327
HY_plasmid_0	86	457
HY_plasmid_0	40	9888
HY_plasmid_0	136	129
HY_plasmid_0	64	1380
HY_plasmid_0	81	544
HY_plasmid_0	54	2669
HY_plasmid_0	69	992
HY_plasmid_0	129	134
HY_plasmid_0	70	988
HY_plasmid_0	102	251
HY_plasmid_0	145	79
HY_plasmid_0	121	162
HY_plasmid_0	25	50339
HY_plasmid_0	77	834
HY_plasmid_0	82	536
HY_plasmid_0	37	19348
HY_plasmid_0	73	968

HY_plasmid_1	134	130
HY_plasmid_1	98	287
HY_plasmid_1	104	245
HY_plasmid_1	170	19
HY_plasmid_1	133	131
HY_plasmid_1	161	46
HY_plasmid_1	120	162
HY_plasmid_1	66	1160
HY_plasmid_1	122	157
HY_plasmid_1	48	5637
HY_plasmid_1	86	457
HY_plasmid_1	51	4493
HY_plasmid_1	128	141

HY_plasmid_2	128	141
HY_plasmid_2	125	156
HY_plasmid_2	43	8301
HY_plasmid_2	124	156
HY_plasmid_2	181	7
HY_plasmid_2	91	382
HY_plasmid_2	144	82
HY_plasmid_2	41	9679
HY_plasmid_2	101	256
HY_plasmid_2	50	4873
HY_plasmid_2	65	1244

HY_plasmid_3	101	256
HY_plasmid_3	160	47
HY_plasmid_3	125	156
HY_plasmid_3	128	141
HY_plasmid_3	181	7
HY_plasmid_3	91	382
HY_plasmid_3	144	82
HY_plasmid_3	41	9679

HY_plasmid_4	47	5828

HY_plasmid_5	73	968
HY_plasmid_5	44	7762
HY_plasmid_5	124	156
HY_plasmid_5	43	8301
HY_plasmid_5	125	156
HY_plasmid_5	128	141
HY_plasmid_5	181	7
HY_plasmid_5	91	382
HY_plasmid_5	144	82
HY_plasmid_5	39	13728
HY_plasmid_5	79	776
HY_plasmid_5	93	331
HY_plasmid_5	108	224
HY_plasmid_5	45	7066
HY_plasmid_5	143	82

HY_plasmid_6	91	382
HY_plasmid_6	143	82
HY_plasmid_6	53	2863
HY_plasmid_6	165	43
HY_plasmid_6	68	1151
HY_plasmid_6	125	156
HY_plasmid_6	128	141
HY_plasmid_6	181	7
HY_plasmid_6	144	82

HY_plasmid_7	168	34
HY_plasmid_7	87	413
HY_plasmid_7	54	2669
HY_plasmid_7	72	970
HY_plasmid_7	129	134
HY_plasmid_7	71	988
HY_plasmid_7	102	251
HY_plasmid_7	146	79
HY_plasmid_7	121	162
HY_plasmid_7	33	33662
HY_plasmid_7	84	491

HY_plasmid_8	108	224
HY_plasmid_8	94	331
HY_plasmid_8	79	776
HY_plasmid_8	17	100659

HY_plasmid_21	62	1463
HY_plasmid_21	187	4
HY_plasmid_21	176	11
HY_plasmid_21	119	175
HY_plasmid_21	152	65

