plasmid	contig	contig_len
HY_plasmid_0	27	57487

HY_plasmid_1	74	2256

HY_plasmid_2	70	3609

HY_plasmid_3	293	111
HY_plasmid_3	355	18
HY_plasmid_3	133	461
HY_plasmid_3	182	243
HY_plasmid_3	265	141
HY_plasmid_3	317	56
HY_plasmid_3	25	60134

HY_plasmid_4	219	184
HY_plasmid_4	129	502
HY_plasmid_4	46	23172
HY_plasmid_4	185	229
HY_plasmid_4	335	35
HY_plasmid_4	144	387

HY_plasmid_5	193	219
HY_plasmid_5	189	225
HY_plasmid_5	281	131
HY_plasmid_5	99	924
HY_plasmid_5	224	180
HY_plasmid_5	325	43
HY_plasmid_5	246	155
HY_plasmid_5	107	753
HY_plasmid_5	257	146
HY_plasmid_5	104	787
HY_plasmid_5	225	179
HY_plasmid_5	296	105
HY_plasmid_5	183	242
HY_plasmid_5	69	4027
HY_plasmid_5	319	56
HY_plasmid_5	265	141
HY_plasmid_5	133	461
HY_plasmid_5	293	111
HY_plasmid_5	57	8986
HY_plasmid_5	317	56

HY_plasmid_7	78	1573

