plasmid	contig	contig_len
GT_3	30	42354
GT_3	40	19053
GT_3	43	17277
GT_3	45	15522
GT_3	48	13424
GT_3	51	10492
GT_3	59	5931
GT_3	66	4112
GT_3	70	2816
GT_3	76	1954
GT_3	86	1160
GT_3	105	574
GT_3	107	571
GT_3	109	550
GT_3	110	544
GT_3	116	427
GT_3	119	415
GT_3	122	392
GT_3	125	358
GT_3	137	265
GT_3	140	240
GT_3	141	228
GT_3	142	224
GT_3	152	181
GT_3	153	181
GT_3	156	174
GT_3	157	172
GT_3	160	166
GT_3	161	166
GT_3	162	165
GT_3	168	148
GT_3	169	148
GT_3	175	143
GT_3	181	133
GT_3	182	130
GT_3	183	129
GT_3	188	111
GT_3	189	111

GT_4	61	5386

