plasmid	contig	contig_len
HY_plasmid_1	111	695
HY_plasmid_1	182	255
HY_plasmid_1	56	8348
HY_plasmid_1	203	213
HY_plasmid_1	82	1791
HY_plasmid_1	37	23531
HY_plasmid_1	116	616
HY_plasmid_1	39	22864
HY_plasmid_1	314	76
HY_plasmid_1	357	27
HY_plasmid_1	318	74
HY_plasmid_1	351	35
HY_plasmid_1	310	80
HY_plasmid_1	303	91
HY_plasmid_1	375	13
HY_plasmid_1	341	48
HY_plasmid_1	235	155
HY_plasmid_1	233	157
HY_plasmid_1	19	95003

HY_plasmid_2	235	155
HY_plasmid_2	328	61
HY_plasmid_2	303	91
HY_plasmid_2	311	80
HY_plasmid_2	351	35
HY_plasmid_2	318	74
HY_plasmid_2	289	103
HY_plasmid_2	48	15522
HY_plasmid_2	317	74
HY_plasmid_2	310	80
HY_plasmid_2	376	13
HY_plasmid_2	341	48
HY_plasmid_2	233	157
HY_plasmid_2	377	13
HY_plasmid_2	308	81
HY_plasmid_2	182	255
HY_plasmid_2	207	204
HY_plasmid_2	248	138
HY_plasmid_2	55	8648
HY_plasmid_2	83	1689
HY_plasmid_2	36	24528
HY_plasmid_2	81	1954
HY_plasmid_2	45	17611
HY_plasmid_2	372	13

HY_plasmid_3	274	119
HY_plasmid_3	80	2311
HY_plasmid_3	289	103
HY_plasmid_3	317	74
HY_plasmid_3	351	35
HY_plasmid_3	310	80
HY_plasmid_3	303	91
HY_plasmid_3	376	13
HY_plasmid_3	341	48
HY_plasmid_3	235	155
HY_plasmid_3	233	157
HY_plasmid_3	372	13
HY_plasmid_3	58	7705
HY_plasmid_3	246	139
HY_plasmid_3	361	21
HY_plasmid_3	43	19017
HY_plasmid_3	113	692
HY_plasmid_3	117	595

HY_plasmid_4	325	63
HY_plasmid_4	298	96
HY_plasmid_4	330	59
HY_plasmid_4	29	43965
HY_plasmid_4	81	1954
HY_plasmid_4	21	80456
HY_plasmid_4	34	30095
HY_plasmid_4	75	2710
HY_plasmid_4	361	21
HY_plasmid_4	246	139
HY_plasmid_4	58	7705
HY_plasmid_4	372	13
HY_plasmid_4	233	157
HY_plasmid_4	235	155
HY_plasmid_4	341	48
HY_plasmid_4	376	13
HY_plasmid_4	303	91
HY_plasmid_4	311	80
HY_plasmid_4	350	35

HY_plasmid_5	111	695
HY_plasmid_5	203	213
HY_plasmid_5	82	1791
HY_plasmid_5	195	223
HY_plasmid_5	248	138
HY_plasmid_5	20	80577
HY_plasmid_5	83	1689
HY_plasmid_5	51	12238
HY_plasmid_5	372	13
HY_plasmid_5	233	157
HY_plasmid_5	235	155
HY_plasmid_5	328	61
HY_plasmid_5	303	91
HY_plasmid_5	311	80
HY_plasmid_5	351	35
HY_plasmid_5	318	74
HY_plasmid_5	289	103
HY_plasmid_5	54	9504

HY_plasmid_6	59	6647

HY_plasmid_8	72	3373

HY_plasmid_9	65	5463

HY_plasmid_10	84	1506

HY_plasmid_21	355	29
HY_plasmid_21	218	188
HY_plasmid_21	74	3028

