plasmid	contig	contig_len
PBF_P1	200	66
PBF_P1	69	3214
PBF_P1	48	13424
PBF_P1	70	2816
PBF_P1	193	92
PBF_P1	152	181
PBF_P1	76	1954
PBF_P1	204	58
PBF_P1	59	5931
PBF_P1	119	415
PBF_P1	122	392
PBF_P1	45	15522
PBF_P1	109	550
PBF_P1	116	427
PBF_P1	43	17277
PBF_P1	225	24
PBF_P1	209	43
PBF_P1	214	36
PBF_P1	235	12
PBF_P1	86	1160
PBF_P1	217	34
PBF_P1	66	4112
PBF_P1	142	224
PBF_P1	30	42354
PBF_P1	51	10492

PBF_P2	161	166
PBF_P2	200	66
PBF_P2	69	3214
PBF_P2	48	13424
PBF_P2	175	143
PBF_P2	70	2816
PBF_P2	107	571
PBF_P2	243	2
PBF_P2	193	92
PBF_P2	152	181
PBF_P2	162	165
PBF_P2	76	1954
PBF_P2	204	58
PBF_P2	141	228
PBF_P2	59	5931
PBF_P2	119	415
PBF_P2	110	544
PBF_P2	122	392
PBF_P2	183	129
PBF_P2	169	148
PBF_P2	109	550
PBF_P2	116	427
PBF_P2	43	17277
PBF_P2	225	24
PBF_P2	209	43
PBF_P2	214	36
PBF_P2	112	520
PBF_P2	235	12
PBF_P2	106	574
PBF_P2	86	1160
PBF_P2	217	34
PBF_P2	40	19053
PBF_P2	66	4112
PBF_P2	182	130
PBF_P2	142	224
PBF_P2	30	42354
PBF_P2	51	10492

PBF_P3	125	358
PBF_P3	70	2816
PBF_P3	193	92
PBF_P3	152	181
PBF_P3	76	1954
PBF_P3	119	415
PBF_P3	252	1
PBF_P3	195	81
PBF_P3	156	174
PBF_P3	140	240
PBF_P3	259	1
PBF_P3	43	17277
PBF_P3	137	265
PBF_P3	225	24
PBF_P3	209	43
PBF_P3	214	36
PBF_P3	202	66
PBF_P3	157	172
PBF_P3	188	111
PBF_P3	181	133
PBF_P3	201	66
PBF_P3	253	1
PBF_P3	168	148
PBF_P3	66	4112
PBF_P3	30	42354

PBF_P4	63	5135

