plasmid	contig	contig_len
GT_2	31	31325
GT_2	34	29949
GT_2	38	17832
GT_2	44	9441
GT_2	45	8311
GT_2	46	7277
GT_2	47	4373
GT_2	52	2863
GT_2	53	2859
GT_2	56	2669
GT_2	57	2532
GT_2	60	2247
GT_2	67	1150
GT_2	73	802
GT_2	75	624
GT_2	76	609
GT_2	77	561
GT_2	79	545
GT_2	80	545
GT_2	81	541
GT_2	87	500
GT_2	92	429
GT_2	93	413
GT_2	94	395
GT_2	98	372
GT_2	99	355
GT_2	100	341
GT_2	101	341
GT_2	102	328
GT_2	103	325
GT_2	104	325
GT_2	109	242
GT_2	111	229
GT_2	112	225
GT_2	113	221
GT_2	115	201
GT_2	116	198
GT_2	117	193
GT_2	118	193
GT_2	123	187
GT_2	128	177
GT_2	130	167
GT_2	131	167
GT_2	132	166
GT_2	133	166
GT_2	135	162
GT_2	138	156
GT_2	139	156
GT_2	140	151
GT_2	141	149
GT_2	149	122
GT_2	151	115
GT_2	163	101

GT_3	24	52052
GT_3	37	18994
GT_3	42	15589
GT_3	49	3915
GT_3	55	2699
GT_3	56	2669
GT_3	57	2532
GT_3	65	1382
GT_3	73	802
GT_3	75	624
GT_3	79	545
GT_3	80	545
GT_3	81	541
GT_3	83	533
GT_3	87	500
GT_3	92	429
GT_3	93	413
GT_3	99	355
GT_3	102	328
GT_3	103	325
GT_3	104	325
GT_3	111	229
GT_3	112	225
GT_3	113	221
GT_3	115	201
GT_3	116	198
GT_3	117	193
GT_3	118	193
GT_3	123	187
GT_3	130	167
GT_3	131	167
GT_3	132	166
GT_3	133	166
GT_3	140	151
GT_3	149	122

GT_6	61	1552

