plasmid	contig	contig_len
PBF_P1	125	561
PBF_P1	152	380
PBF_P1	240	161
PBF_P1	439	1
PBF_P1	149	406
PBF_P1	310	70
PBF_P1	148	424
PBF_P1	119	618
PBF_P1	367	13
PBF_P1	33	32506
PBF_P1	179	285
PBF_P1	110	690
PBF_P1	276	122
PBF_P1	253	148
PBF_P1	42	20631
PBF_P1	275	127
PBF_P1	221	190
PBF_P1	349	23
PBF_P1	63	6833
PBF_P1	53	11156
PBF_P1	191	261
PBF_P1	282	115
PBF_P1	65	5858
PBF_P1	96	937
PBF_P1	246	156
PBF_P1	159	331
PBF_P1	216	203
PBF_P1	319	48
PBF_P1	222	190
PBF_P1	57	9394
PBF_P1	259	141
PBF_P1	234	176
PBF_P1	55	10555
PBF_P1	85	1331
PBF_P1	131	513
PBF_P1	202	235
PBF_P1	281	116
PBF_P1	151	381
PBF_P1	83	1353
PBF_P1	132	512
PBF_P1	66	5793

PBF_P2	147	424
PBF_P2	25	70662
PBF_P2	83	1353
PBF_P2	96	937

