plasmid	contig	contig_len
HY_plasmid_0	131	366
HY_plasmid_0	73	3703
HY_plasmid_0	120	466
HY_plasmid_0	93	1352
HY_plasmid_0	136	336
HY_plasmid_0	211	123
HY_plasmid_0	164	221
HY_plasmid_0	40	23249
HY_plasmid_0	267	12
HY_plasmid_0	152	262
HY_plasmid_0	233	50

HY_plasmid_1	152	262
HY_plasmid_1	267	12
HY_plasmid_1	63	6113
HY_plasmid_1	269	10
HY_plasmid_1	203	134

HY_plasmid_2	233	50
HY_plasmid_2	152	262
HY_plasmid_2	267	12
HY_plasmid_2	61	7845
HY_plasmid_2	132	358
HY_plasmid_2	268	11
HY_plasmid_2	194	149
HY_plasmid_2	150	276
HY_plasmid_2	128	393
HY_plasmid_2	83	2006
HY_plasmid_2	222	98
HY_plasmid_2	107	733
HY_plasmid_2	102	1058
HY_plasmid_2	166	213
HY_plasmid_2	108	695
HY_plasmid_2	31	35969
HY_plasmid_2	76	2581
HY_plasmid_2	56	12188

HY_plasmid_3	159	238
HY_plasmid_3	184	159
HY_plasmid_3	77	2371
HY_plasmid_3	225	82
HY_plasmid_3	60	8097
HY_plasmid_3	145	285
HY_plasmid_3	74	3685
HY_plasmid_3	41	23141
HY_plasmid_3	108	695
HY_plasmid_3	166	213
HY_plasmid_3	102	1058

HY_plasmid_14	102	1058
HY_plasmid_14	108	695
HY_plasmid_14	166	213
HY_plasmid_14	107	733
HY_plasmid_14	78	2339
HY_plasmid_14	239	43
HY_plasmid_14	75	2735
HY_plasmid_14	267	12
HY_plasmid_14	152	262
HY_plasmid_14	234	50

HY_plasmid_15	166	213
HY_plasmid_15	102	1058
HY_plasmid_15	107	733
HY_plasmid_15	57	11993
HY_plasmid_15	106	821
HY_plasmid_15	110	667
HY_plasmid_15	120	466
HY_plasmid_15	62	6887
HY_plasmid_15	164	221
HY_plasmid_15	119	505
HY_plasmid_15	131	366

HY_plasmid_16	47	19188
HY_plasmid_16	168	206

HY_plasmid_17	168	206
HY_plasmid_17	49	16475
HY_plasmid_17	145	285
HY_plasmid_17	109	674
HY_plasmid_17	107	733

HY_plasmid_18	203	134
HY_plasmid_18	269	10
HY_plasmid_18	214	117
HY_plasmid_18	55	12271
HY_plasmid_18	204	131
HY_plasmid_18	215	114
HY_plasmid_18	176	179
HY_plasmid_18	161	238
HY_plasmid_18	155	254
HY_plasmid_18	237	44
HY_plasmid_18	157	245
HY_plasmid_18	230	54
HY_plasmid_18	181	166
HY_plasmid_18	245	34
HY_plasmid_18	162	236
HY_plasmid_18	90	1556

HY_plasmid_19	107	733
HY_plasmid_19	28	42189

HY_plasmid_20	182	161
HY_plasmid_20	135	338
HY_plasmid_20	97	1248

HY_plasmid_22	30	39157
HY_plasmid_22	232	51
HY_plasmid_22	203	134

HY_plasmid_23	83	2006
HY_plasmid_23	69	4919
HY_plasmid_23	225	82
HY_plasmid_23	77	2371
HY_plasmid_23	45	22481
HY_plasmid_23	141	310
HY_plasmid_23	257	21
HY_plasmid_23	172	191
HY_plasmid_23	22	68107
HY_plasmid_23	185	157
HY_plasmid_23	124	451

HY_plasmid_27	203	134
HY_plasmid_27	232	51
HY_plasmid_27	43	22685
HY_plasmid_27	104	1015
HY_plasmid_27	187	157
HY_plasmid_27	252	26
HY_plasmid_27	12	129208
HY_plasmid_27	107	733

