plasmid	contig	contig_len
GT_2	33	33662
GT_2	39	13728
GT_2	41	9679
GT_2	43	8301
GT_2	44	7762
GT_2	45	7066
GT_2	47	5828
GT_2	51	4493
GT_2	53	2863
GT_2	54	2669
GT_2	55	2327
GT_2	64	1380
GT_2	66	1160
GT_2	68	1151
GT_2	69	992
GT_2	70	988
GT_2	73	968
GT_2	74	954
GT_2	76	838
GT_2	78	800
GT_2	79	776
GT_2	84	491
GT_2	86	457
GT_2	87	413
GT_2	90	389
GT_2	91	382
GT_2	93	331
GT_2	94	331
GT_2	95	299
GT_2	97	287
GT_2	98	287
GT_2	99	282
GT_2	100	258
GT_2	101	256
GT_2	102	251
GT_2	103	247
GT_2	104	245
GT_2	108	224
GT_2	120	162
GT_2	121	162
GT_2	122	157
GT_2	124	156
GT_2	125	156
GT_2	128	141
GT_2	129	134
GT_2	131	133
GT_2	133	131
GT_2	134	130
GT_2	136	129

GT_3	25	50339
GT_3	37	19348
GT_3	40	9888
GT_3	48	5637
GT_3	54	2669
GT_3	64	1380
GT_3	67	1157
GT_3	71	988
GT_3	72	970
GT_3	73	968
GT_3	74	954
GT_3	77	834
GT_3	78	800
GT_3	81	544
GT_3	82	536
GT_3	86	457
GT_3	90	389
GT_3	95	299
GT_3	97	287
GT_3	98	287
GT_3	100	258
GT_3	102	251
GT_3	103	247
GT_3	104	245
GT_3	120	162
GT_3	121	162
GT_3	122	157
GT_3	129	134
GT_3	131	133
GT_3	133	131
GT_3	134	130
GT_3	136	129

GT_4	49	5386

GT_5	58	2096

