plasmid	contig	contig_len
HY_plasmid_0	159	141
HY_plasmid_0	125	238
HY_plasmid_0	204	45
HY_plasmid_0	180	82
HY_plasmid_0	53	2735
HY_plasmid_0	207	43
HY_plasmid_0	93	425
HY_plasmid_0	59	1344
HY_plasmid_0	60	1070
HY_plasmid_0	55	2123
HY_plasmid_0	21	78327
HY_plasmid_0	210	40
HY_plasmid_0	183	77
HY_plasmid_0	161	140

HY_plasmid_2	180	82
HY_plasmid_2	32	22479
HY_plasmid_2	88	460

HY_plasmid_3	161	140
HY_plasmid_3	46	8389

HY_plasmid_5	137	199
HY_plasmid_5	44	10434
HY_plasmid_5	72	742

HY_plasmid_6	183	77
HY_plasmid_6	210	40
HY_plasmid_6	36	15543
HY_plasmid_6	161	140

HY_plasmid_7	92	444
HY_plasmid_7	212	39
HY_plasmid_7	33	20659

HY_plasmid_8	39	13906

HY_plasmid_9	159	141
HY_plasmid_9	125	238
HY_plasmid_9	204	45
HY_plasmid_9	180	82
HY_plasmid_9	42	11362
HY_plasmid_9	88	460

HY_plasmid_10	159	141
HY_plasmid_10	125	238
HY_plasmid_10	51	2953
HY_plasmid_10	190	65
HY_plasmid_10	80	623
HY_plasmid_10	220	30
HY_plasmid_10	55	2123
HY_plasmid_10	108	342
HY_plasmid_10	57	1772

HY_plasmid_17	55	2123
HY_plasmid_17	248	6
HY_plasmid_17	136	206
HY_plasmid_17	150	148
HY_plasmid_17	110	339
HY_plasmid_17	123	243
HY_plasmid_17	139	184

