plasmid	contig	contig_len
HY_plasmid_2	129	332
HY_plasmid_2	247	61
HY_plasmid_2	43	29516
HY_plasmid_2	82	1310
HY_plasmid_2	68	5285
HY_plasmid_2	175	176
HY_plasmid_2	133	315
HY_plasmid_2	64	5980
HY_plasmid_2	86	1165

HY_plasmid_3	66	5569

HY_plasmid_4	86	1165
HY_plasmid_4	28	65609
HY_plasmid_4	80	1341
HY_plasmid_4	54	15112

HY_plasmid_8	157	251
HY_plasmid_8	88	1029
HY_plasmid_8	51	17467
HY_plasmid_8	120	377
HY_plasmid_8	221	96
HY_plasmid_8	179	161
HY_plasmid_8	212	123
HY_plasmid_8	117	397
HY_plasmid_8	164	228
HY_plasmid_8	149	269

HY_plasmid_10	243	63
HY_plasmid_10	19	92017
HY_plasmid_10	208	125
HY_plasmid_10	250	61
HY_plasmid_10	194	144
HY_plasmid_10	254	52
HY_plasmid_10	233	72
HY_plasmid_10	76	2812
HY_plasmid_10	118	396

HY_plasmid_11	49	21570
HY_plasmid_11	243	63

HY_plasmid_12	157	251
HY_plasmid_12	88	1029
HY_plasmid_12	30	61232
HY_plasmid_12	243	63

HY_plasmid_13	129	332
HY_plasmid_13	248	61
HY_plasmid_13	45	27421
HY_plasmid_13	179	161
HY_plasmid_13	211	124
HY_plasmid_13	117	397
HY_plasmid_13	164	228
HY_plasmid_13	149	269
HY_plasmid_13	103	535

HY_plasmid_15	129	332
HY_plasmid_15	249	61
HY_plasmid_15	113	428
HY_plasmid_15	137	313
HY_plasmid_15	220	100
HY_plasmid_15	123	363
HY_plasmid_15	136	314
HY_plasmid_15	131	328

HY_plasmid_29	176	173
HY_plasmid_29	261	12
HY_plasmid_29	260	19
HY_plasmid_29	250	61
HY_plasmid_29	194	144
HY_plasmid_29	255	52
HY_plasmid_29	234	72
HY_plasmid_29	76	2812
HY_plasmid_29	256	49
HY_plasmid_29	128	333
HY_plasmid_29	259	29

HY_plasmid_30	254	52
HY_plasmid_30	233	72
HY_plasmid_30	76	2812
HY_plasmid_30	256	49
HY_plasmid_30	160	241
HY_plasmid_30	259	29

