plasmid	contig	contig_len
PBF_P1	61	6647

PBF_P2	84	2639
PBF_P2	58	9802
PBF_P2	94	1932
PBF_P2	49	15520
PBF_P2	316	88
PBF_P2	345	64
PBF_P2	325	76
PBF_P2	80	2735
PBF_P2	346	64
PBF_P2	350	62
PBF_P2	357	48
PBF_P2	391	16
PBF_P2	279	134
PBF_P2	380	24
PBF_P2	65	6095
PBF_P2	207	211
PBF_P2	362	43
PBF_P2	301	107
PBF_P2	66	5873
PBF_P2	368	40
PBF_P2	242	164
PBF_P2	26	52232
PBF_P2	378	27
PBF_P2	396	10
PBF_P2	371	31
PBF_P2	250	155
PBF_P2	197	223
PBF_P2	52	14429

PBF_P3	58	9802
PBF_P3	67	5509
PBF_P3	49	15520
PBF_P3	316	88
PBF_P3	345	64
PBF_P3	298	110
PBF_P3	80	2735
PBF_P3	361	43
PBF_P3	392	16
PBF_P3	346	64
PBF_P3	350	62
PBF_P3	63	6517
PBF_P3	357	48
PBF_P3	279	134
PBF_P3	380	24
PBF_P3	170	340
PBF_P3	136	519
PBF_P3	207	211
PBF_P3	362	43
PBF_P3	301	107
PBF_P3	66	5873
PBF_P3	368	40
PBF_P3	242	164
PBF_P3	26	52232
PBF_P3	222	193
PBF_P3	191	242
PBF_P3	371	31
PBF_P3	250	155
PBF_P3	213	200
PBF_P3	197	223
PBF_P3	257	143

PBF_P4	67	5509

