plasmid	contig	contig_len
GT_2	31	35969
GT_2	40	23249
GT_2	49	16475
GT_2	55	12271
GT_2	56	12188
GT_2	60	8097
GT_2	63	6113
GT_2	74	3685
GT_2	75	2735
GT_2	76	2581
GT_2	77	2371
GT_2	78	2339
GT_2	90	1556
GT_2	102	1058
GT_2	107	733
GT_2	108	695
GT_2	109	674
GT_2	119	505
GT_2	131	366
GT_2	136	336
GT_2	145	285
GT_2	152	262
GT_2	155	254
GT_2	157	245
GT_2	160	238
GT_2	161	238
GT_2	162	236
GT_2	164	221
GT_2	166	213
GT_2	168	206
GT_2	171	193
GT_2	176	179
GT_2	181	166
GT_2	188	155
GT_2	203	134
GT_2	204	131
GT_2	211	123
GT_2	212	123
GT_2	214	117
GT_2	215	114
GT_2	216	114

GT_3	47	19188
GT_3	57	11993
GT_3	62	6887
GT_3	73	3703
GT_3	93	1352
GT_3	102	1058
GT_3	106	821
GT_3	107	733
GT_3	108	695
GT_3	110	667
GT_3	119	505
GT_3	120	466
GT_3	131	366
GT_3	136	336
GT_3	164	221
GT_3	166	213
GT_3	168	206
GT_3	211	123
GT_3	212	123

GT_4	66	5386

GT_5	79	2337

