plasmid	contig	contig_len
HY_plasmid_0	138	435
HY_plasmid_0	28	69373
HY_plasmid_0	281	43
HY_plasmid_0	190	202
HY_plasmid_0	173	259
HY_plasmid_0	145	392
HY_plasmid_0	7	160496
HY_plasmid_0	62	10978
HY_plasmid_0	87	2699
HY_plasmid_0	55	21482
HY_plasmid_0	287	12
HY_plasmid_0	258	70
HY_plasmid_0	282	37
HY_plasmid_0	214	147

HY_plasmid_1	287	12
HY_plasmid_1	60	14588
HY_plasmid_1	260	70
HY_plasmid_1	56	21052
HY_plasmid_1	281	43
HY_plasmid_1	190	202
HY_plasmid_1	173	259
HY_plasmid_1	145	392
HY_plasmid_1	138	435
HY_plasmid_1	91	2144
HY_plasmid_1	98	1329
HY_plasmid_1	84	3050
HY_plasmid_1	258	70

HY_plasmid_2	74	5569

HY_plasmid_4	142	396
HY_plasmid_4	85	2812
HY_plasmid_4	292	9
HY_plasmid_4	240	114
HY_plasmid_4	286	13
HY_plasmid_4	273	57
HY_plasmid_4	248	85
HY_plasmid_4	279	51
HY_plasmid_4	237	124
HY_plasmid_4	17	92326
HY_plasmid_4	138	435
HY_plasmid_4	145	392
HY_plasmid_4	173	259
HY_plasmid_4	190	202
HY_plasmid_4	281	43
HY_plasmid_4	44	34442
HY_plasmid_4	189	208
HY_plasmid_4	290	10
HY_plasmid_4	239	116
HY_plasmid_4	155	315

HY_plasmid_5	88	2629
HY_plasmid_5	138	435
HY_plasmid_5	145	392
HY_plasmid_5	173	259
HY_plasmid_5	190	202
HY_plasmid_5	281	43
HY_plasmid_5	14	113923

HY_plasmid_23	173	259
HY_plasmid_23	190	202
HY_plasmid_23	281	43
HY_plasmid_23	68	7206
HY_plasmid_23	87	2699
HY_plasmid_23	46	30053
HY_plasmid_23	135	439

HY_plasmid_25	141	397
HY_plasmid_25	235	124
HY_plasmid_25	202	161
HY_plasmid_25	244	96
HY_plasmid_25	147	378
HY_plasmid_25	130	511
HY_plasmid_25	220	137
HY_plasmid_25	64	10120
HY_plasmid_25	222	135
HY_plasmid_25	277	51
HY_plasmid_25	257	72
HY_plasmid_25	167	271
HY_plasmid_25	283	26
HY_plasmid_25	116	629
HY_plasmid_25	165	291

HY_plasmid_27	92	2089

HY_plasmid_31	187	218
HY_plasmid_31	113	666
HY_plasmid_31	123	556
HY_plasmid_31	105	940
HY_plasmid_31	101	1167

HY_plasmid_34	199	171
HY_plasmid_34	175	254
HY_plasmid_34	75	5285
HY_plasmid_34	196	176
HY_plasmid_34	154	315
HY_plasmid_34	113	666
HY_plasmid_34	187	218

HY_plasmid_36	169	270
HY_plasmid_36	280	49
HY_plasmid_36	85	2812
HY_plasmid_36	293	9
HY_plasmid_36	240	114
HY_plasmid_36	259	70
HY_plasmid_36	247	86
HY_plasmid_36	261	69
HY_plasmid_36	289	12
HY_plasmid_36	197	173

HY_plasmid_37	85	2812
HY_plasmid_37	293	9
HY_plasmid_37	240	114
HY_plasmid_37	286	13

